	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	select
hsa01240	hsa01240	Biosynthesis of cofactors	3/262	153/8464	0.857904917	0.995029039	0.752542971	8564/8942/23475	3	
hsa04213	hsa04213	Longevity regulating pathway - multiple species	1/262	62/8464	0.85867465	0.995029039	0.752542971	5293	1	
hsa04330	hsa04330	Notch signaling pathway	1/262	62/8464	0.85867465	0.995029039	0.752542971	1840	1	
hsa03250	hsa03250	Viral life cycle - HIV-1	1/262	63/8464	0.863081606	0.995029039	0.752542971	920	1	
hsa04934	hsa04934	Cushing syndrome	3/262	155/8464	0.863827173	0.995029039	0.752542971	9049/51176/6932	3	
hsa04150	hsa04150	mTOR signaling pathway	3/262	156/8464	0.866706485	0.995029039	0.752542971	2885/5293/55615	3	
hsa04929	hsa04929	GnRH secretion	1/262	64/8464	0.867351648	0.995029039	0.752542971	5293	1	
hsa04110	hsa04110	Cell cycle	3/262	157/8464	0.869532264	0.995029039	0.752542971	51529/7040/7157	3	
hsa04217	hsa04217	Necroptosis	3/262	159/8464	0.875026237	0.995029039	0.752542971	1536/3455/6775	3	
hsa05031	hsa05031	Amphetamine addiction	1/262	69/8464	0.886791977	0.995029039	0.752542971	5533	1	
hsa04622	hsa04622	RIG-I-like receptor signaling pathway	1/262	71/8464	0.89374835	0.995029039	0.752542971	340061	1	
hsa04137	hsa04137	Mitophagy - animal	1/262	72/8464	0.897065154	0.995029039	0.752542971	7157	1	
hsa04020	hsa04020	Calcium signaling pathway	5/262	253/8464	0.897556841	0.995029039	0.752542971	135/2769/2911/3274/5533	5	
hsa04623	hsa04623	Cytosolic DNA-sensing pathway	1/262	75/8464	0.906409315	0.995029039	0.752542971	340061	1	
hsa04971	hsa04971	Gastric acid secretion	1/262	76/8464	0.90933228	0.995029039	0.752542971	3274	1	
hsa04141	hsa04141	Protein processing in endoplasmic reticulum	3/262	174/8464	0.910099303	0.995029039	0.752542971	10961/5886/6048	3	
hsa04721	hsa04721	Synaptic vesicle cycle	1/262	78/8464	0.914908179	0.995029039	0.752542971	245972	1	
hsa04114	hsa04114	Oocyte meiosis	2/262	131/8464	0.917339551	0.995029039	0.752542971	51529/5533	2	
hsa04024	hsa04024	cAMP signaling pathway	4/262	225/8464	0.922414643	0.995029039	0.752542971	135/5293/5880/7409	4	
hsa05206	hsa05206	MicroRNAs in cancer	6/262	310/8464	0.923119959	0.995029039	0.752542971	6624/2885/3162/4318/5293/7157	6	
hsa04146	hsa04146	Peroxisome	1/262	82/8464	0.925055802	0.995029039	0.752542971	51703	1	
hsa01232	hsa01232	Nucleotide metabolism	1/262	85/8464	0.931866905	0.995029039	0.752542971	1633	1	
hsa04714	hsa04714	Thermogenesis	4/262	232/8464	0.932901844	0.995029039	0.752542971	51703/493753/2885/6605	4	
hsa04742	hsa04742	Taste transduction	1/262	86/8464	0.933997334	0.995029039	0.752542971	2911	1	
hsa04911	hsa04911	Insulin secretion	1/262	86/8464	0.933997334	0.995029039	0.752542971	2864	1	
hsa05034	hsa05034	Alcoholism	3/262	188/8464	0.934539807	0.995029039	0.752542971	135/2885/55315	3	
hsa04140	hsa04140	Autophagy - animal	2/262	141/8464	0.936178604	0.995029039	0.752542971	1508/5293	2	
hsa04512	hsa04512	ECM-receptor interaction	1/262	89/8464	0.939998584	0.995029039	0.752542971	3695	1	
hsa04814	hsa04814	Motor proteins	3/262	193/8464	0.941674556	0.995029039	0.752542971	4542/203068/7283	3	
hsa04912	hsa04912	GnRH signaling pathway	1/262	93/8464	0.947163007	0.995029039	0.752542971	2885	1	
hsa04657	hsa04657	IL-17 signaling pathway	1/262	94/8464	0.948816727	0.995029039	0.752542971	4318	1	
hsa04750	hsa04750	Inflammatory mediator regulation of TRP channels	1/262	98/8464	0.954931706	0.995029039	0.752542971	5293	1	
hsa04932	hsa04932	Non-alcoholic fatty liver disease	2/262	155/8464	0.955843348	0.995029039	0.752542971	5293/7040	2	
hsa00564	hsa00564	Glycerophospholipid metabolism	1/262	99/8464	0.956343121	0.995029039	0.752542971	122618	1	
hsa05010	hsa05010	Alzheimer disease	7/262	384/8464	0.957149211	0.995029039	0.752542971	348/842/1536/5293/5533/5690/203068	7	
hsa04974	hsa04974	Protein digestion and absorption	1/262	103/8464	0.961561876	0.995029039	0.752542971	285641	1	
hsa05207	hsa05207	Chemical carcinogenesis - receptor activation	3/262	212/8464	0.962723265	0.995029039	0.752542971	9049/2885/5293	3	
hsa04928	hsa04928	"Parathyroid hormone synthesis, secretion and action"	1/262	106/8464	0.965063719	0.995029039	0.752542971	6569	1	
hsa04922	hsa04922	Glucagon signaling pathway	1/262	107/8464	0.966158874	0.995029039	0.752542971	5533	1	
hsa03013	hsa03013	Nucleocytoplasmic transport	1/262	108/8464	0.967219826	0.995029039	0.752542971	55308	1	
hsa04725	hsa04725	Cholinergic synapse	1/262	113/8464	0.972047654	0.995029039	0.752542971	5293	1	
hsa05014	hsa05014	Amyotrophic lateral sclerosis	6/262	364/8464	0.972414896	0.995029039	0.752542971	842/9542/5533/5690/7157/203068	6	
hsa04152	hsa04152	AMPK signaling pathway	1/262	121/8464	0.978341823	0.995029039	0.752542971	5293	1	
hsa00230	hsa00230	Purine metabolism	1/262	128/8464	0.982678461	0.995029039	0.752542971	1633	1	
hsa04728	hsa04728	Dopaminergic synapse	1/262	132/8464	0.984755946	0.995029039	0.752542971	5533	1	
hsa00190	hsa00190	Oxidative phosphorylation	1/262	134/8464	0.985699628	0.995029039	0.752542971	245972	1	
hsa04270	hsa04270	Vascular smooth muscle contraction	1/262	134/8464	0.985699628	0.995029039	0.752542971	135	1	
hsa05016	hsa05016	Huntington disease	4/262	306/8464	0.987112153	0.995029039	0.752542971	842/5690/7157/203068	4	
hsa04120	hsa04120	Ubiquitin mediated proteolysis	1/262	142/8464	0.988926956	0.995029039	0.752542971	51529	1	
hsa04723	hsa04723	Retrograde endocannabinoid signaling	1/262	148/8464	0.990861277	0.995029039	0.752542971	2911	1	
hsa04921	hsa04921	Oxytocin signaling pathway	1/262	154/8464	0.992458758	0.995029039	0.752542971	5533	1	
hsa05022	hsa05022	Pathways of neurodegeneration - multiple diseases	7/262	476/8464	0.992990374	0.995029039	0.752542971	842/1536/2911/27429/5533/5690/203068	7	
hsa04022	hsa04022	cGMP-PKG signaling pathway	1/262	167/8464	0.995029039	0.995029039	0.752542971	5533	1	
